"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2005",139241,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2006",232881,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2007",363481,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2008",197273,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2009",288289,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2010",336355,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2011",315742,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2012",332836,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2013",385322,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2014",332961,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2015",290092,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2016",342849,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2017",388693,
"RUS","FDISTOCK","OUTWARD","MLN_USD","A","2018",346593,
