"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2013-Q1",27765,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2013-Q2",8480,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2013-Q3",9784,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2013-Q4",7368,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2014-Q1",11288,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2014-Q2",12886,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2014-Q3",649,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2014-Q4",4328,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2015-Q1",6956,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2015-Q2",2467,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2015-Q3",152,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2015-Q4",2283,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2016-Q1",1298,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2016-Q2",8445,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2016-Q3",4886,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2016-Q4",22547,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2017-Q1",10186,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2017-Q2",7971,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2017-Q3",7713,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2017-Q4",83,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2018-Q1",7968,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2018-Q2",6565,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2018-Q3",3916,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2018-Q4",-5221,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2019-Q1",9856,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2019-Q2",6849,
"RUS","FDIFLOW","INWARD","MLN_USD","Q","2019-Q3",8275,
